Small Unit Installation Postcode,Apr 2001 - SGU Rated Output In kW,May 2001 - SGU Rated Output In kW,Jun 2001 - SGU Rated Output In kW,Jul 2001 - SGU Rated Output In kW,Aug 2001 - SGU Rated Output In kW,Sep 2001 - SGU Rated Output In kW,Oct 2001 - SGU Rated Output In kW,Nov 2001 - SGU Rated Output In kW,Dec 2001 - SGU Rated Output In kW,Jan 2002 - SGU Rated Output In kW,Feb 2002 - SGU Rated Output In kW,Mar 2002 - SGU Rated Output In kW,Apr 2002 - SGU Rated Output In kW,May 2002 - SGU Rated Output In kW,Jun 2002 - SGU Rated Output In kW,Jul 2002 - SGU Rated Output In kW,Aug 2002 - SGU Rated Output In kW,Sep 2002 - SGU Rated Output In kW,Oct 2002 - SGU Rated Output In kW,Nov 2002 - SGU Rated Output In kW,Dec 2002 - SGU Rated Output In kW,Jan 2003 - SGU Rated Output In kW,Feb 2003 - SGU Rated Output In kW,Mar 2003 - SGU Rated Output In kW,Apr 2003 - SGU Rated Output In kW,May 2003 - SGU Rated Output In kW,Jun 2003 - SGU Rated Output In kW,Jul 2003 - SGU Rated Output In kW,Aug 2003 - SGU Rated Output In kW,Sep 2003 - SGU Rated Output In kW,Oct 2003 - SGU Rated Output In kW,Nov 2003 - SGU Rated Output In kW,Dec 2003 - SGU Rated Output In kW,Jan 2004 - SGU Rated Output In kW,Feb 2004 - SGU Rated Output In kW,Mar 2004 - SGU Rated Output In kW,Apr 2004 - SGU Rated Output In kW,May 2004 - SGU Rated Output In kW,Jun 2004 - SGU Rated Output In kW,Jul 2004 - SGU Rated Output In kW,Aug 2004 - SGU Rated Output In kW,Sep 2004 - SGU Rated Output In kW,Oct 2004 - SGU Rated Output In kW,Nov 2004 - SGU Rated Output In kW,Dec 2004 - SGU Rated Output In kW,Jan 2005 - SGU Rated Output In kW,Feb 2005 - SGU Rated Output In kW,Mar 2005 - SGU Rated Output In kW,Apr 2005 - SGU Rated Output In kW,May 2005 - SGU Rated Output In kW,Jun 2005 - SGU Rated Output In kW,Jul 2005 - SGU Rated Output In kW,Aug 2005 - SGU Rated Output In kW,Sep 2005 - SGU Rated Output In kW,Oct 2005 - SGU Rated Output In kW,Nov 2005 - SGU Rated Output In kW,Dec 2005 - SGU Rated Output In kW,Jan 2006 - SGU Rated Output In kW,Feb 2006 - SGU Rated Output In kW,Mar 2006 - SGU Rated Output In kW,Apr 2006 - SGU Rated Output In kW,May 2006 - SGU Rated Output In kW,Jun 2006 - SGU Rated Output In kW,Jul 2006 - SGU Rated Output In kW,Aug 2006 - SGU Rated Output In kW,Sep 2006 - SGU Rated Output In kW,Oct 2006 - SGU Rated Output In kW,Nov 2006 - SGU Rated Output In kW,Dec 2006 - SGU Rated Output In kW,Jan 2007 - SGU Rated Output In kW,Feb 2007 - SGU Rated Output In kW,Mar 2007 - SGU Rated Output In kW,Apr 2007 - SGU Rated Output In kW,May 2007 - SGU Rated Output In kW,Jun 2007 - SGU Rated Output In kW,Jul 2007 - SGU Rated Output In kW,Aug 2007 - SGU Rated Output In kW,Sep 2007 - SGU Rated Output In kW,Oct 2007 - SGU Rated Output In kW,Nov 2007 - SGU Rated Output In kW,Dec 2007 - SGU Rated Output In kW,Jan 2008 - SGU Rated Output In kW,Feb 2008 - SGU Rated Output In kW,Mar 2008 - SGU Rated Output In kW,Apr 2008 - SGU Rated Output In kW,May 2008 - SGU Rated Output In kW,Jun 2008 - SGU Rated Output In kW,Jul 2008 - SGU Rated Output In kW,Aug 2008 - SGU Rated Output In kW,Sep 2008 - SGU Rated Output In kW,Oct 2008 - SGU Rated Output In kW,Nov 2008 - SGU Rated Output In kW,Dec 2008 - SGU Rated Output In kW,Jan 2009 - SGU Rated Output In kW,Feb 2009 - SGU Rated Output In kW,Mar 2009 - SGU Rated Output In kW,Apr 2009 - SGU Rated Output In kW,May 2009 - SGU Rated Output In kW,Jun 2009 - SGU Rated Output In kW,Jul 2009 - SGU Rated Output In kW,Aug 2009 - SGU Rated Output In kW,Sep 2009 - SGU Rated Output In kW,Oct 2009 - SGU Rated Output In kW,Nov 2009 - SGU Rated Output In kW,Dec 2009 - SGU Rated Output In kW,Jan 2010 - SGU Rated Output In kW,Feb 2010 - SGU Rated Output In kW,Mar 2010 - SGU Rated Output In kW,Apr 2010 - SGU Rated Output In kW,May 2010 - SGU Rated Output In kW,Jun 2010 - SGU Rated Output In kW,Jul 2010 - SGU Rated Output In kW,Aug 2010 - SGU Rated Output In kW,Sep 2010 - SGU Rated Output In kW,Oct 2010 - SGU Rated Output In kW,Nov 2010 - SGU Rated Output In kW,Dec 2010 - SGU Rated Output In kW
0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.100,0.480,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.980,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.600,4.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.600,4.620,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0801,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.000,0.000,0.000,0.000,3.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0803,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0804,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.040,3.610,1.520,0.000,0.000,0.000
0810,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.750,1.550,0.000,0.000,0.000,0.000,0.000,0.000,4.950,5.150,3.360,1.020,3.090,4.650,0.000,0.000,1.020,3.060,4.930,12.890,8.140,5.590,17.830,12.710,19.625,25.580,20.510,26.090,20.545,12.003,13.950,10.525,5.700
0812,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.990,1.020,3.960,3.330,1.020,0.000,1.320,1.320,0.000,1.020,6.120,20.400,9.180,2.890,7.610,10.150,7.125,11.080,16.779,2.100,6.780,13.690,11.575,9.700,5.920
0813,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.064,0.000,0.000,0.000,0.000,0.000,0.000
0814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
