Small Unit Installation Postcode,Jan 2011 - Installation Quantity,Feb 2011 - Installation Quantity,Mar 2011 - Installation Quantity,Apr 2011 - Installation Quantity,May 2011 - Installation Quantity,Jun 2011 - Installation Quantity,Jul 2011 - Installation Quantity,Aug 2011 - Installation Quantity,Sep 2011 - Installation Quantity,Oct 2011 - Installation Quantity,Nov 2011 - Installation Quantity,Dec 2011 - Installation Quantity,Jan 2012 - Installation Quantity,Feb 2012 - Installation Quantity,Mar 2012 - Installation Quantity,Apr 2012 - Installation Quantity,May 2012 - Installation Quantity,Jun 2012 - Installation Quantity,Jul 2012 - Installation Quantity,Aug 2012 - Installation Quantity,Sep 2012 - Installation Quantity,Oct 2012 - Installation Quantity,Nov 2012 - Installation Quantity,Dec 2012 - Installation Quantity,Jan 2013 - Installation Quantity,Feb 2013 - Installation Quantity,Mar 2013 - Installation Quantity,Apr 2013 - Installation Quantity,May 2013 - Installation Quantity,Jun 2013 - Installation Quantity,Jul 2013 - Installation Quantity,Aug 2013 - Installation Quantity,Sep 2013 - Installation Quantity,Oct 2013 - Installation Quantity,Nov 2013 - Installation Quantity,Dec 2013 - Installation Quantity,Jan 2014 - Installation Quantity,Feb 2014 - Installation Quantity,Mar 2014 - Installation Quantity,Apr 2014 - Installation Quantity,May 2014 - Installation Quantity,Jun 2014 - Installation Quantity,Jul 2014 - Installation Quantity,Aug 2014 - Installation Quantity,Sep 2014 - Installation Quantity,Oct 2014 - Installation Quantity,Nov 2014 - Installation Quantity,Dec 2014 - Installation Quantity,Jan 2015 - Installation Quantity,Feb 2015 - Installation Quantity,Mar 2015 - Installation Quantity,Apr 2015 - Installation Quantity,May 2015 - Installation Quantity,Jun 2015 - Installation Quantity,Jul 2015 - Installation Quantity,Aug 2015 - Installation Quantity,Sep 2015 - Installation Quantity,Oct 2015 - Installation Quantity,Nov 2015 - Installation Quantity,Dec 2015 - Installation Quantity,Jan 2016 - Installation Quantity,Feb 2016 - Installation Quantity,Mar 2016 - Installation Quantity,Apr 2016 - Installation Quantity,May 2016 - Installation Quantity,Jun 2016 - Installation Quantity,Jul 2016 - Installation Quantity,Aug 2016 - Installation Quantity,Sep 2016 - Installation Quantity,Oct 2016 - Installation Quantity,Nov 2016 - Installation Quantity,Dec 2016 - Installation Quantity,Jan 2017 - Installation Quantity,Feb 2017 - Installation Quantity,Mar 2017 - Installation Quantity,Apr 2017 - Installation Quantity,May 2017 - Installation Quantity,Jun 2017 - Installation Quantity,Jul 2017 - Installation Quantity,Aug 2017 - Installation Quantity,Sep 2017 - Installation Quantity,Oct 2017 - Installation Quantity,Nov 2017 - Installation Quantity,Dec 2017 - Installation Quantity,Jan 2018 - Installation Quantity,Feb 2018 - Installation Quantity,Mar 2018 - Installation Quantity,Apr 2018 - Installation Quantity,May 2018 - Installation Quantity,Jun 2018 - Installation Quantity,Jul 2018 - Installation Quantity,Aug 2018 - Installation Quantity,Sep 2018 - Installation Quantity,Oct 2018 - Installation Quantity,Nov 2018 - Installation Quantity,Dec 2018 - Installation Quantity,Jan 2019 - Installation Quantity,Feb 2019 - Installation Quantity,Mar 2019 - Installation Quantity,Apr 2019 - Installation Quantity,May 2019 - Installation Quantity,Jun 2019 - Installation Quantity,Jul 2019 - Installation Quantity,Aug 2019 - Installation Quantity,Sep 2019 - Installation Quantity,Oct 2019 - Installation Quantity,Nov 2019 - Installation Quantity,Dec 2019 - Installation Quantity,Jan 2020 - Installation Quantity,Feb 2020 - Installation Quantity,Mar 2020 - Installation Quantity,Apr 2020 - Installation Quantity,May 2020 - Installation Quantity,Jun 2020 - Installation Quantity,Jul 2020 - Installation Quantity,Aug 2020 - Installation Quantity,Sep 2020 - Installation Quantity,Oct 2020 - Installation Quantity,Nov 2020 - Installation Quantity,Dec 2020 - Installation Quantity,Jan 2021 - Installation Quantity,Feb 2021 - Installation Quantity,Mar 2021 - Installation Quantity,Apr 2021 - Installation Quantity,May 2021 - Installation Quantity,Jun 2021 - Installation Quantity,Jul 2021 - Installation Quantity,Aug 2021 - Installation Quantity,Sep 2021 - Installation Quantity,Oct 2021 - Installation Quantity,Nov 2021 - Installation Quantity,Dec 2021 - Installation Quantity,Jan 2022 - Installation Quantity,Feb 2022 - Installation Quantity,Mar 2022 - Installation Quantity,Apr 2022 - Installation Quantity,May 2022 - Installation Quantity,Jun 2022 - Installation Quantity,Jul 2022 - Installation Quantity,Aug 2022 - Installation Quantity,Sep 2022 - Installation Quantity,Oct 2022 - Installation Quantity,Nov 2022 - Installation Quantity,Dec 2022 - Installation Quantity,Jan 2023 - Installation Quantity,Feb 2023 - Installation Quantity,Mar 2023 - Installation Quantity,Apr 2023 - Installation Quantity,May 2023 - Installation Quantity,Jun 2023 - Installation Quantity,Jul 2023 - Installation Quantity,Aug 2023 - Installation Quantity,Sep 2023 - Installation Quantity,Oct 2023 - Installation Quantity,Nov 2023 - Installation Quantity,Dec 2023 - Installation Quantity,Jan 2024 - Installation Quantity,Feb 2024 - Installation Quantity,Mar 2024 - Installation Quantity,Apr 2024 - Installation Quantity,May 2024 - Installation Quantity,Jun 2024 - Installation Quantity,Jul 2024 - Installation Quantity,Aug 2024 - Installation Quantity,Sep 2024 - Installation Quantity,Oct 2024 - Installation Quantity,Nov 2024 - Installation Quantity,Dec 2024 - Installation Quantity,Jan 2025 - Installation Quantity,Feb 2025 - Installation Quantity,Mar 2025 - Installation Quantity,Apr 2025 - Installation Quantity
0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0800,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0810,11,5,23,19,19,22,12,24,20,14,17,7,1,10,4,11,6,5,14,16,12,10,15,14,7,9,7,15,9,5,15,13,20,14,11,11,9,14,17,12,14,10,17,26,23,25,11,8,6,9,5,7,14,39,27,23,36,13,19,16,6,11,8,11,25,23,22,23,19,18,21,13,6,9,8,5,13,17,13,19,9,5,7,5,2,12,9,15,34,14,16,13,7,10,9,15,14,15,12,9,13,6,7,10,12,18,9,6,6,12,6,12,10,14,14,17,17,14,18,6,3,13,11,7,7,7,3,10,10,11,8,5,5,18,9,11,5,6,7,9,6,9,5,2,3,7,7,1,9,10,7,7,10,9,7,10,4,8,8,6,10,7,5,4,13,3,1,3,2,5,5,1
0811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0812,8,13,10,16,21,17,21,18,12,11,9,9,7,14,19,11,12,15,8,20,8,5,8,6,6,4,8,5,1,10,5,9,11,10,8,1,2,5,8,3,7,4,7,11,2,9,1,5,3,9,11,10,6,9,9,10,6,4,4,5,1,5,13,4,4,2,3,9,6,8,6,2,1,5,3,11,15,11,6,7,4,4,7,1,3,7,4,6,12,5,15,15,16,18,7,10,6,12,4,5,12,21,8,7,11,8,9,9,4,14,2,1,13,12,22,11,13,9,11,9,2,5,6,6,7,7,6,10,4,5,8,5,0,8,5,7,7,8,4,6,5,7,4,1,6,4,5,3,5,4,1,2,4,7,1,3,1,3,4,2,6,8,7,3,4,4,3,0,0,1,0,0
0813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
